trial,activity,frame0,time_from_clip_start_nominal_s,com_proxy_camera_x_m,com_proxy_camera_y_m,com_proxy_camera_z_m,delta_camera_x_m,delta_camera_minus_y_m,delta_camera_z_m,absolute_height_above_floor_m,true_horizontal_1_m,true_horizontal_2_m,equal_joint_centroid_x_m,equal_joint_centroid_y_m,equal_joint_centroid_z_m,median_normalized_limb_scale,max_joint_step_from_previous_m,review_flag,head_ankle_angle_to_camera_minus_y_deg,eye_to_furthest_foot_m
S50A10T01,A10,10,0.3333333333333333,0.12843919353229524,0.6368143250298742,2.4224822615824317,0.09148707052893068,-0.09579803830642886,0.13644971448486531,,,,0.02090886378288269,0.6878963804244996,2.3649329032897954,1.0569801781320294,0.12169185401211363,False,90.90272462866783,1.515498838405608
S50A10T01,A10,11,0.36666666666666664,0.1367356611394847,0.6355030517189063,2.3636323702367723,0.09978353813612015,-0.09448676499546094,0.07759982313920588,,,,0.02930049043893816,0.6889577064514159,2.3237538452148434,1.018615944874493,0.34644011211546544,True,90.2455421933911,1.5246036201768878
S50A10T01,A10,12,0.4,0.14846064833067313,0.6353155466103241,2.3784905922366506,0.11150852532730857,-0.0942992598868787,0.09245804513908418,,,,0.03932617990672588,0.6990367240905763,2.3358890571594237,1.0089939489620225,0.10640235697357918,False,88.5969140375011,1.4588878656681479
S50A10T01,A10,13,0.43333333333333335,0.16884539148659672,0.6623340111547169,2.3728719647558134,0.13189326848323216,-0.12131772443127153,0.08683941765824699,,,,0.04338470184803009,0.7108257846832275,2.323574752807617,0.9993915806938192,0.20763119459249404,True,82.36234830377379,1.4048648603931213
S50A10T01,A10,14,0.4666666666666667,0.16907524300376464,0.6665546638961076,2.3717526624299587,0.13212312000040008,-0.12553837717266225,0.08572011533239232,,,,0.045525303006172184,0.7168267688751221,2.3202146911621093,0.9920409955906557,0.08223219348140591,False,81.22736030021751,1.3729981458848097
S50A10T01,A10,15,0.5,0.171198687341843,0.6571826938779999,2.365600294730261,0.13424656433847842,-0.11616640715455451,0.07956774763269436,,,,0.04605818301439286,0.6995931644439698,2.3134963607788093,0.9804944857440103,0.08248259571381339,False,80.67236430187863,1.3614532227589156
S50A10T01,A10,16,0.5333333333333333,0.1680096746015243,0.6579406096019972,2.357458476729546,0.13105755159815974,-0.11692432287855181,0.07142592963197947,,,,0.04406708037853243,0.7077642726898196,2.3119150543212887,0.988870036703148,0.11977356382375719,False,81.43767170717325,1.3636974633813292
S50A10T01,A10,17,0.5666666666666667,0.16998316891116197,0.6612470715448242,2.3563921853722123,0.1330310459077974,-0.12023078482137883,0.07035963827464586,,,,0.04896304231882094,0.7163655357360839,2.3178466339111328,0.9923593051507063,0.06264714546318628,False,83.3217406598484,1.4096271348246752
S50A10T01,A10,18,0.6,0.1764139656405614,0.6494112351531323,2.35337574371344,0.13946184263719683,-0.10839494842968689,0.06734319661587351,,,,0.057831724882125846,0.7085457782745361,2.3176742248535156,0.9914049933779254,0.16153714673572062,False,86.73756962807722,1.4141918799355058
S50A10T01,A10,19,0.6333333333333333,0.18289084834079744,0.6466105438419195,2.3465254258747392,0.14593872533743288,-0.10559425711847414,0.0604928787771728,,,,0.07037262475490569,0.7086523990631104,2.3114985351562503,0.9860222718400649,0.08724908121964281,False,88.2082476076004,1.4141269075576006
S50A10T01,A10,20,0.6666666666666666,0.19133661828638915,0.6551669102666169,2.366798765201902,0.1543844952830246,-0.11415062354317151,0.0807662181043356,,,,0.06900501388311386,0.71275209236145,2.308718769073486,0.9962698432394121,0.2236354421722022,True,88.08679930097718,1.3886658450907654
