trial,from_frame0,to_frame0,max_joint,max_joint_step_m,com_step_m,limb_scale_step_fraction,reason
S06A08T03,150,151,eye_left,0.1269614430571623,0.01977403725505913,0.0443701769304853,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,156,157,ear_left,0.07318490911410121,0.028041143241673717,0.031079579065351925,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,159,160,handtip_left,0.21697027188902304,0.019001322534092296,0.04014061605563468,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,183,184,handtip_right,0.3159318654980102,0.0416585464944385,4.7110710671622084e-05,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,7,8,handtip_right,0.35981260800970605,0.010722302672954829,0.004260914636042777,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,8,9,foot_right,0.2567100477068665,0.02848386607230543,0.0059772833654203154,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,39,40,knee_left,0.1316148801020566,0.08131477808535208,0.031152967693737148,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,42,43,hand_left,0.21402842279245282,0.04558911754679756,0.004940759196748869,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,61,62,hand_left,0.36074555488191357,0.030570789505928807,0.010786673571188352,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,64,65,foot_right,0.2067890500593933,0.035439219042516,0.007820932914699716,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,86,87,foot_left,0.28246267069446185,0.04468669287257774,0.016845281966655103,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,91,92,thumb_left,0.22118218885562424,0.018664659066091514,0.027009484832670436,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,117,118,handtip_left,0.2595703676441539,0.021291159778437707,0.04642404731870111,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,118,119,hand_right,0.13998427206597686,0.023430953364129745,0.035577320929508015,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,127,128,wrist_left,0.13075784044955496,0.007224300392265495,0.06071032287099568,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,148,149,foot_left,1.0051091571330573,0.19233508926959683,0.1945048477163148,joint step >0.2m and/or scale change >3.0%; review only
